video_hashid,time_in_extended_iso,body_score,face_score,hands_score,body_in_image,face_in_image,hands_in_image,threshold_used
00270001_2024-01-30_H12M37S54_58e3b5ddb6,0:03:47,0.17,0.18,0.27,False,False,False,0.4
00270001_2024-01-30_H12M52S54_cf20a13d72,0:02:36,0.27,0.24,0.23,False,False,False,0.4
00270001_2024-02-11_H09M32S22_adf2c98c2d,0:02:05,0.33,0.39,0.39,False,False,False,0.4
00270001_2024-02-12_H19M02S52_e825ac7307,0:01:07,0.46,0.47,0.47,True,True,True,0.4
00270001_2024-02-23_H20M09S08_ef1e963076,0:02:52,0.5,0.56,0.55,True,True,True,0.4
00270001_2024-03-10_H09M16S06_55fe186109,0:02:06,0.19,0.15,0.31,False,False,False,0.4
00270001_2024-03-10_H09M31S06_9c6de7b998,0:00:37,0.32,0.31,0.29,False,False,False,0.4
00270001_2024-03-10_H09M41S06_d5a8a66186,0:01:01,0.34,0.35,0.33,False,False,False,0.4
00270001_2024-03-12_H09M43S06_17350cac01,0:02:46,0.18,0.22,0.29,False,False,False,0.4
00270001_2024-03-12_H09M53S06_8ed18bca58,0:02:17,0.38,0.2,0.61,False,False,True,0.4
00270001_2024-03-19_H08M20S10_189c0e6a59,0:04:35,0.22,0.22,0.32,False,False,False,0.4
00270001_2024-03-19_H08M25S10_d91edf76f9,0:00:33,0.32,0.24,0.55,False,False,True,0.4
00270001_2024-03-19_H08M35S10_049c99eaab,0:02:55,0.63,0.18,0.39,True,False,False,0.4
00270001_2024-03-19_H09M10S10_ccbebf2123,0:04:53,0.53,0.47,0.47,True,True,True,0.4
00270001_2024-04-08_H16M10S30_f5938b4cb0,0:02:24,0.66,0.76,0.7,True,True,True,0.4
00270001_2024-04-10_H08M50S36_6bfa5d0a2b,0:03:48,0.26,0.34,0.25,False,False,False,0.4
00270001_2024-04-10_H09M05S36_2bd84ec3dd,0:02:15,0.1,0.17,0.12,False,False,False,0.4
00270001_2024-04-10_H09M15S36_d36e4f69bb,0:03:23,0.18,0.21,0.4,False,False,True,0.4
00270001_2024-04-10_H09M15S36_d36e4f69bb,0:03:35,0.13,0.19,0.28,False,False,False,0.4
00270001_2024-04-10_H09M30S36_c789d4a0ab,0:00:22,0.68,0.33,0.77,True,False,True,0.4
00270001_2024-04-14_H09M49S30_c42797339b,0:01:47,0.34,0.41,0.41,False,True,True,0.4
00270001_2024-04-14_H10M14S30_144fa78a33,0:01:41,0.21,0.19,0.32,False,False,False,0.4
00270001_2024-04-17_H19M33S28_9c112985a5,0:01:19,0.9,1.02,0.97,True,True,True,0.4
00270001_2024-04-24_H08M45S44_c1dc8901de,0:03:21,0.23,0.26,0.23,False,False,False,0.4
00270001_2024-04-27_H17M05S22_bcab8f760d,0:03:52,0.15,0.21,0.16,False,False,False,0.4
00270001_2024-04-29_H11M51S20_64dbcd3f6a,0:02:17,0.23,0.33,0.41,False,False,True,0.4
00270001_2024-05-11_H19M18S10_9d95b7231e,0:02:32,0.26,0.31,0.25,False,False,False,0.4
00270001_2024-05-22_H09M24S42_447b989b9b,0:04:17,0.32,0.31,0.31,False,False,False,0.4
00270001_2024-05-26_H09M41S56_39e00e313e,0:04:29,0.41,0.3,0.28,True,False,False,0.4
00270001_2024-06-02_H09M19S30_a4493f8d89,0:03:10,0.15,0.19,0.19,False,False,False,0.4
00270001_2024-06-10_H18M57S34_6b599a5c04,0:01:53,0.36,0.15,0.65,False,False,True,0.4
00270001_2024-06-10_H18M57S34_6b599a5c04,0:02:33,0.31,0.17,0.43,False,False,True,0.4
00270001_2024-07-01_H18M41S38_67452d803c,0:03:48,0.2,0.17,0.54,False,False,True,0.4
00270001_2024-07-04_H19M35S08_ff84db0086,0:03:54,0.51,0.22,0.52,True,False,True,0.4
00270001_2024-07-04_H19M40S02_9158683e2b,0:02:35,0.33,0.36,0.25,False,False,False,0.4
00270001_2024-07-30_H19M40S06_4b5f69f756,0:03:01,0.83,0.77,0.79,True,True,True,0.4
00270001_2024-08-06_H10M06S58_6c73eb8797,0:00:05,0.38,0.13,0.72,False,False,True,0.4
00270001_2024-08-06_H10M36S58_a332dba008,0:04:18,0.29,0.31,0.21,False,False,False,0.4
00270001_2024-08-20_H18M18S34_f262cf4a1f,0:02:20,0.17,0.18,0.17,False,False,False,0.4
00270001_2024-08-20_H18M33S34_7de742c0b5,0:02:54,0.19,0.18,0.2,False,False,False,0.4
00320001_2023-11-05_2_d1cf88a5cb,0:05:30,0.89,0.7,0.9,True,True,True,0.4
00320001_2023-11-10_2_a72031293c,0:07:12,0.26,0.27,0.42,False,False,True,0.4
00320001_2023-11-19_1_f2cd61e736,0:04:01,0.42,0.39,1.01,True,False,True,0.4
00320001_2023-11-24_2_2a88945053,0:02:33,0.3,0.35,0.44,False,False,True,0.4
00320001_2023-11-29_2_baad088b44,0:02:56,0.28,0.19,0.27,False,False,False,0.4
00320001_2023-12-06_2_9e885c01a8,0:06:09,0.21,0.26,0.25,False,False,False,0.4
00320001_2023-12-06_3_9591bd365a,0:03:40,0.49,0.25,0.72,True,False,True,0.4
00320001_2023-12-29_2_d18e11a390,0:02:00,0.17,0.21,0.38,False,False,False,0.4
00320001_2024-01-01_3_bfc1d5bc35,0:12:18,0.79,0.84,0.84,True,True,True,0.4
00320001_2024-01-09_3_0559359bff,0:03:57,0.4,0.51,0.47,True,True,True,0.4
00320001_2024-01-13_1_1a89f3c712,0:03:06,0.43,0.22,0.86,True,False,True,0.4
