superseded_gcp_name_feb25,time_in_extended_iso,body_score,face_score,hands_score,body_in_image,face_in_image,hands_in_image,threshold_used
00510002_2024-10-22_2_06d11690d1,0:02:28,0.29,0.28,0.23,False,False,False,0.4
00510002_2024-10-22_2_06d11690d1,0:06:15,0.95,1.02,1.0,True,True,True,0.4
00510002_2024-10-22_2_06d11690d1,0:07:32,0.19,0.22,0.22,False,False,False,0.4
00510002_2024-10-22_2_06d11690d1,0:11:53,0.84,0.83,0.82,True,True,True,0.4
00510002_2024-10-22_3_21ca31234a,0:09:47,0.93,0.99,0.97,True,True,True,0.4
00510002_2024-10-22_3_21ca31234a,0:11:12,0.64,0.86,0.82,True,True,True,0.4
00510002_2024-10-22_3_21ca31234a,0:14:35,0.53,0.76,0.73,True,True,True,0.4
00510002_2024-10-28_1_825c5db2e8,0:01:53,0.97,1.03,0.98,True,True,True,0.4
00510002_2024-10-28_1_825c5db2e8,0:02:40,0.15,0.2,0.19,False,False,False,0.4
00510002_2024-10-28_1_825c5db2e8,0:11:51,0.31,0.33,0.31,False,False,False,0.4
00510002_2024-10-28_2_33093540dd,0:00:24,0.18,0.19,0.5,False,False,True,0.4
00510002_2024-10-28_2_33093540dd,0:04:20,0.26,0.3,0.34,False,False,False,0.4
00510002_2024-10-28_2_33093540dd,0:13:37,0.37,0.45,0.41,False,True,True,0.4
00510002_2024-10-28_3_5aeb8a28ef,0:00:34,0.22,0.24,0.21,False,False,False,0.4
00510002_2024-10-28_3_5aeb8a28ef,0:02:23,0.25,0.27,0.24,False,False,False,0.4
00510002_2024-10-28_3_5aeb8a28ef,0:04:02,0.92,0.99,0.97,True,True,True,0.4
00510002_2024-10-28_3_5aeb8a28ef,0:07:34,0.32,0.38,0.36,False,False,False,0.4
00510002_2024-10-28_4_376de3b8d9,0:01:30,0.61,0.72,0.71,True,True,True,0.4
00510002_2024-10-28_4_376de3b8d9,0:07:23,0.24,0.29,0.28,False,False,False,0.4
00510002_2024-10-28_5_ff7b05f796,0:02:54,0.4,0.46,0.45,True,True,True,0.4
00510002_2024-10-28_5_ff7b05f796,0:05:47,0.26,0.28,0.23,False,False,False,0.4
00510002_2024-10-29_1_806c17be8e,0:02:34,0.19,0.23,0.22,False,False,False,0.4
00510002_2024-10-29_1_806c17be8e,0:04:47,0.24,0.28,0.27,False,False,False,0.4
00510002_2024-10-29_1_806c17be8e,0:06:13,0.28,0.23,0.26,False,False,False,0.4
00510002_2024-10-29_1_806c17be8e,0:08:11,0.44,0.46,0.41,True,True,True,0.4
00510002_2024-10-29_1_806c17be8e,0:11:21,0.31,0.39,0.37,False,False,False,0.4
00510002_2024-10-29_2_a0e689de92,0:04:28,0.33,0.23,0.65,False,False,True,0.4
00510002_2024-10-29_2_a0e689de92,0:05:54,0.15,0.15,0.15,False,False,False,0.4
00510002_2024-10-29_3_f70d7db2dc,0:07:54,0.17,0.21,0.2,False,False,False,0.4
00510002_2024-11-04_1_58ec285763,0:05:21,0.23,0.25,0.21,False,False,False,0.4
00510002_2024-11-04_1_58ec285763,0:06:12,0.9,0.98,0.96,True,True,True,0.4
00510002_2024-11-04_1_58ec285763,0:14:08,0.27,0.26,0.59,False,False,True,0.4
00510002_2024-11-04_2_cdafd3542d,0:03:54,0.19,0.19,0.14,False,False,False,0.4
00510002_2024-11-04_2_cdafd3542d,0:06:14,0.36,0.24,0.68,False,False,True,0.4
00510002_2024-11-04_2_cdafd3542d,0:08:55,0.18,0.18,0.24,False,False,False,0.4
00510002_2024-11-04_3_3b1ab11b14,0:10:16,0.85,0.97,0.95,True,True,True,0.4
00510002_2024-11-04_3_3b1ab11b14,0:11:52,0.95,1.03,0.98,True,True,True,0.4
00510002_2024-11-04_3_3b1ab11b14,0:12:44,0.44,0.59,0.52,True,True,True,0.4
00510002_2024-11-04_4_af30335f48,0:11:15,0.7,0.43,0.78,True,True,True,0.4
00510002_2024-11-05_1_034517fc1e,0:11:28,0.8,0.91,0.82,True,True,True,0.4
00510002_2024-11-05_2_d17853da2b,0:00:32,0.88,1.03,1.02,True,True,True,0.4
00510002_2024-11-05_2_d17853da2b,0:00:49,0.32,0.51,0.73,False,True,True,0.4
00510002_2024-11-05_2_d17853da2b,0:10:09,0.28,0.36,0.61,False,False,True,0.4
00510002_2024-11-05_3_b82af14475,0:01:57,0.73,0.79,0.91,True,True,True,0.4
00510002_2024-11-05_3_b82af14475,0:04:46,0.63,0.14,0.8,True,False,True,0.4
00510002_2024-11-05_3_b82af14475,0:10:56,0.46,0.17,0.72,True,False,True,0.4
00510002_2024-11-05_3_b82af14475,0:12:43,0.86,0.93,0.93,True,True,True,0.4
00510002_2024-11-11_2_7601a6e506,0:04:02,0.38,0.42,0.36,False,True,False,0.4
00510002_2024-11-11_2_7601a6e506,0:07:00,0.25,0.28,0.27,False,False,False,0.4
00510002_2024-11-11_2_7601a6e506,0:10:22,0.21,0.2,0.23,False,False,False,0.4
00510002_2024-11-11_2_7601a6e506,0:12:35,0.47,0.59,0.55,True,True,True,0.4
00510002_2024-11-11_3_b5982be21a,0:12:54,0.33,0.34,0.5,False,False,True,0.4
00510002_2024-11-11_3_b5982be21a,0:13:24,0.64,0.89,0.86,True,True,True,0.4
00510002_2024-11-11_4_991fefc952,0:03:55,0.53,0.43,0.76,True,True,True,0.4
00510002_2024-11-11_4_991fefc952,0:08:17,0.81,0.96,0.9,True,True,True,0.4
00510002_2024-11-11_5_5043348961,0:03:44,0.28,0.32,0.29,False,False,False,0.4
00510002_2024-11-12_1_2e81fea59c,0:04:34,0.32,0.47,0.47,False,True,True,0.4
00510002_2024-11-12_1_2e81fea59c,0:09:07,0.39,0.52,0.5,False,True,True,0.4
00510002_2024-11-12_1_3237844a1f,0:00:43,0.3,0.37,0.36,False,False,False,0.4
00510002_2024-11-12_1_3237844a1f,0:04:44,0.33,0.44,0.39,False,True,False,0.4
00510002_2024-11-12_2_ff91bd82e8,0:07:30,0.16,0.18,0.16,False,False,False,0.4
00510002_2024-11-12_2_ff91bd82e8,0:09:38,0.3,0.35,0.34,False,False,False,0.4
00510002_2024-11-12_2_ff91bd82e8,0:11:10,0.58,0.57,0.55,True,True,True,0.4
00510002_2024-11-12_2_ff91bd82e8,0:11:25,0.46,0.15,0.12,True,False,False,0.4
00510002_2024-11-18_1_8fd6907ea6,0:01:28,0.39,0.4,0.36,False,True,False,0.4
